epoch,step,train_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,459,0.7946773131169006,0.0798475612401313,0.06101279170911816,0.7516995166122006,0.8473242123921713,0.07464864756911993,0.059831319997708,0.7617601799242424,1
1,918,0.698306090821368,0.05153738804697211,0.046439349691917174,0.7710379599370613,0.7995873192946116,0.06532815905908744,0.05608715318764249,0.7728870738636361,2
2,1377,0.6676908075030333,0.04684704344938783,0.04428084401620759,0.7807116731723548,0.7873817210396131,0.0627862832819422,0.055209371726959944,0.7787020596590911,3
3,1836,0.6457578189882058,0.044808933385576816,0.043089204920305664,0.7882669715262656,0.7582613900303841,0.05731968255713582,0.05218154735242327,0.7871374881628787,4
4,2295,0.628510843889386,0.04316077774597539,0.04233349182020085,0.794429220376422,0.7362924441695213,0.05545961825797955,0.05071175998697678,0.7915734493371214,5
5,2754,0.613004876572582,0.042364186073667605,0.041528363555897035,0.800163304133382,0.7241869966189066,0.051940363831818104,0.04820073458055655,0.7932084517045453,6
6,3213,0.5999604045435754,0.041246059316175955,0.041186930591439366,0.8047142603183254,0.7074739014108976,0.048202797615279756,0.04715864763905605,0.7982984138257576,7
7,3672,0.5902856862363213,0.04056926219356865,0.04086995400764324,0.8079735347070927,0.705905539294084,0.05012475357701381,0.047185478576769434,0.7995649857954544,8
8,4131,0.5811161897540872,0.04018560879760318,0.04026869908867968,0.8111897845557986,0.6978583211700121,0.04951560636982322,0.04761696125691136,0.8021735913825756,9
9,4590,0.5724987085738213,0.03946562196596775,0.040275627897325944,0.81440622352336,0.6910572225848833,0.04808301059529185,0.04654976725578308,0.8047170928030302,10
10,5049,0.5664519481929039,0.039197064984857644,0.04019059756596234,0.8164534351549254,0.6851088603337606,0.04813716638212403,0.04767604311928153,0.8056832978219698,11
11,5508,0.5583354816457545,0.03872564605037501,0.03984489967571754,0.819305914881384,0.6819958264629046,0.04833528213202953,0.048385969984034695,0.8074707031250002,12
12,5967,0.5513109074568696,0.03802294990206077,0.03957074715031518,0.8216019123698869,0.6745058434704939,0.04717571816096703,0.04684368070835868,0.8103604403409089,13
13,6426,0.5460248409662891,0.03805676222756538,0.039642166244860305,0.823700469771242,0.664014478524526,0.04701088120539983,0.04521098562205831,0.8129231770833334,14
14,6885,0.5401842723355055,0.03784759506615678,0.03918038638945758,0.8257829520697172,0.6721281421681246,0.046924902591854334,0.04667823358128468,0.8107111150568181,14
15,7344,0.5362192509870384,0.03745809330935702,0.039378856148465265,0.8271149161825223,0.663726611683766,0.04676046626021465,0.04766937857493758,0.8135934540719697,15
16,7803,0.53121684864975,0.037579616515497495,0.03921832045649781,0.8289477615892029,0.6568317251900831,0.04577568887422482,0.04517063467452923,0.8155199455492426,16
